n,block_size,iteration,kernel_ms,total_ms,correct
1024,512,60,0.006048,0.024512,PASS
1024,512,61,0.00608,0.026945,PASS
1024,512,62,0.004832,0.024768,PASS
1024,512,63,0.004224,0.025056,PASS
1024,512,64,0.004448,0.025632,PASS
1024,512,65,0.004544,0.024672,PASS
1024,512,66,0.004448,0.026433,PASS
1024,512,67,0.005952,0.023808,PASS
1024,512,68,0.0056,0.023712,PASS
1024,512,69,0.00448,0.023424,PASS
1024,512,70,0.00448,0.023424,PASS
1024,512,71,0.005856,0.024673,PASS
1024,512,72,0.004352,0.02464,PASS
1024,512,73,0.005664,0.024448,PASS
1024,512,74,0.005568,0.02448,PASS
1024,512,75,0.004256,0.02448,PASS
1024,512,76,0.005952,0.023649,PASS
1024,512,77,0.00592,0.023552,PASS
1024,512,78,0.005824,0.023424,PASS
1024,512,79,0.005824,0.023488,PASS
1024,512,80,0.004096,0.024192,PASS
1024,512,81,0.005568,0.023936,PASS
1024,512,82,0.00576,0.023681,PASS
1024,512,83,0.00576,0.023424,PASS
1024,512,84,0.005952,0.023424,PASS
1024,512,85,0.005568,0.02368,PASS
1024,512,86,0.005696,0.023296,PASS
1024,512,87,0.0048,0.025025,PASS
1024,512,88,0.004384,0.024064,PASS
1024,512,89,0.004288,0.023648,PASS
1024,512,90,0.005632,0.024448,PASS
1024,512,91,0.004736,0.024704,PASS
1024,512,92,0.006016,0.023393,PASS
1024,512,93,0.004256,0.024704,PASS
1024,512,94,0.004864,0.024032,PASS
1024,512,95,0.004416,0.024032,PASS
1024,512,96,0.005664,0.023552,PASS
1024,512,97,0.006016,0.026081,PASS
1024,512,98,0.004352,0.023968,PASS
1024,512,99,0.005568,0.02336,PASS
2048,128,0,0.007584,0.042145,PASS
2048,128,1,0.006432,0.024,PASS
2048,128,2,0.004352,0.023392,PASS
2048,128,3,0.006048,0.023552,PASS
2048,128,4,0.005632,0.023456,PASS
2048,128,5,0.004352,0.023425,PASS
2048,128,6,0.005696,0.024192,PASS
2048,128,7,0.005696,0.022848,PASS
2048,128,8,0.00432,0.02352,PASS
2048,128,9,0.0056,0.02272,PASS
2048,128,10,0.00576,0.023232,PASS
2048,128,11,0.005472,0.022625,PASS
2048,128,12,0.005728,0.02448,PASS
2048,128,13,0.005696,0.030816,PASS
2048,128,14,0.00592,0.023328,PASS
2048,128,15,0.005792,0.023232,PASS
2048,128,16,0.006048,0.024097,PASS
2048,128,17,0.005888,0.023296,PASS
2048,128,18,0.006144,0.02464,PASS
2048,128,19,0.005728,0.02352,PASS
2048,128,20,0.005568,0.023424,PASS
2048,128,21,0.004288,0.023457,PASS
2048,128,22,0.004384,0.024704,PASS
2048,128,23,0.005568,0.023168,PASS
2048,128,24,0.004352,0.02384,PASS
2048,128,25,0.005536,0.02336,PASS
2048,128,26,0.00576,0.023616,PASS
2048,128,27,0.005824,0.023521,PASS
2048,128,28,0.005504,0.022624,PASS
2048,128,29,0.005824,0.02208,PASS
2048,128,30,0.005568,0.024128,PASS
2048,128,31,0.004288,0.022816,PASS
2048,128,32,0.005952,0.022017,PASS
2048,128,33,0.005856,0.022976,PASS
2048,128,34,0.005696,0.022624,PASS
2048,128,35,0.005536,0.022048,PASS
2048,128,36,0.005824,0.022368,PASS
2048,128,37,0.004352,0.024704,PASS
2048,128,38,0.004256,0.022721,PASS
2048,128,39,0.005632,0.02336,PASS
2048,128,40,0.004352,0.022336,PASS
2048,128,41,0.005632,0.022496,PASS
2048,128,42,0.005536,0.021376,PASS
2048,128,43,0.005568,0.021888,PASS
2048,128,44,0.00592,0.024289,PASS
2048,128,45,0.005696,0.022304,PASS
2048,128,46,0.004384,0.021632,PASS
2048,128,47,0.004192,0.022784,PASS
2048,128,48,0.005856,0.022176,PASS
2048,128,49,0.005536,0.022465,PASS
2048,128,50,0.004384,0.021664,PASS
2048,128,51,0.005664,0.0232,PASS
2048,128,52,0.005728,0.021664,PASS
2048,128,53,0.004192,0.023328,PASS
2048,128,54,0.004384,0.021472,PASS
2048,128,55,0.005664,0.022593,PASS
2048,128,56,0.004288,0.025632,PASS
2048,128,57,0.005728,0.023488,PASS
2048,128,58,0.005696,0.023552,PASS
2048,128,59,0.010848,0.021664,PASS
2048,128,60,0.00432,0.02224,PASS
2048,128,61,0.004224,0.021601,PASS
2048,128,62,0.005664,0.021504,PASS
2048,128,63,0.00432,0.022208,PASS
2048,128,64,0.005792,0.022528,PASS
2048,128,65,0.005536,0.022528,PASS
2048,128,66,0.00592,0.023425,PASS
2048,128,67,0.004256,0.021696,PASS
2048,128,68,0.00592,0.022432,PASS
2048,128,69,0.005824,0.02256,PASS
2048,128,70,0.005632,0.02144,PASS
2048,128,71,0.005888,0.023552,PASS
2048,128,72,0.005632,0.022465,PASS
2048,128,73,0.0056,0.022432,PASS
2048,128,74,0.005568,0.022432,PASS
2048,128,75,0.005504,0.021632,PASS
2048,128,76,0.005856,0.022304,PASS
2048,128,77,0.005472,0.022656,PASS
2048,128,78,0.005504,0.022369,PASS
2048,128,79,0.005664,0.022432,PASS
2048,128,80,0.005664,0.0216,PASS
2048,128,81,0.004416,0.022496,PASS
2048,128,82,0.005856,0.022624,PASS
2048,128,83,0.0056,0.022337,PASS
2048,128,84,0.0056,0.02336,PASS
2048,128,85,0.005888,0.02192,PASS
2048,128,86,0.005632,0.022112,PASS
2048,128,87,0.005568,0.022592,PASS
2048,128,88,0.00432,0.023712,PASS
2048,128,89,0.004416,0.021089,PASS
2048,128,90,0.005632,0.0232,PASS
2048,128,91,0.005696,0.022848,PASS
2048,128,92,0.005984,0.023072,PASS
2048,128,93,0.005504,0.023648,PASS
2048,128,94,0.005536,0.022208,PASS
2048,128,95,0.004768,0.022817,PASS
2048,128,96,0.005472,0.021696,PASS
2048,128,97,0.005664,0.022624,PASS
2048,128,98,0.005632,0.021376,PASS
2048,128,99,0.005472,0.022432,PASS
2048,256,0,0.006272,0.042816,PASS
2048,256,1,0.00464,0.025665,PASS
2048,256,2,0.004224,0.023584,PASS
2048,256,3,0.005504,0.022912,PASS
2048,256,4,0.003872,0.02352,PASS
2048,256,5,0.006112,0.02448,PASS
2048,256,6,0.004,0.022784,PASS
2048,256,7,0.004,0.025633,PASS
2048,256,8,0.006208,0.023616,PASS
2048,256,9,0.00592,0.023264,PASS
2048,256,10,0.005888,0.0256,PASS
2048,256,11,0.005824,0.024672,PASS
2048,256,12,0.004832,0.025313,PASS
2048,256,13,0.005728,0.023808,PASS
2048,256,14,0.004128,0.022656,PASS
2048,256,15,0.006304,0.025376,PASS
2048,256,16,0.00416,0.02448,PASS
2048,256,17,0.006208,0.023393,PASS
2048,256,18,0.004128,0.023776,PASS
2048,256,19,0.005824,0.02352,PASS
2048,256,20,0.0048,0.02416,PASS
2048,256,21,0.00704,0.023968,PASS
2048,256,22,0.005088,0.023393,PASS
2048,256,23,0.004032,0.025344,PASS
2048,256,24,0.006624,0.02368,PASS
2048,256,25,0.005952,0.023744,PASS
2048,256,26,0.00704,0.026496,PASS
2048,256,27,0.005664,0.024705,PASS
2048,256,28,0.005088,0.02416,PASS
2048,256,29,0.003968,0.024672,PASS
2048,256,30,0.004896,0.023456,PASS
2048,256,31,0.004576,0.024896,PASS
2048,256,32,0.006016,0.02336,PASS
2048,256,33,0.006304,0.023841,PASS
2048,256,34,0.004288,0.024224,PASS
2048,256,35,0.00416,0.0224,PASS
2048,256,36,0.004384,0.02272,PASS
2048,256,37,0.00448,0.0232,PASS
2048,256,38,0.005248,0.023649,PASS
2048,256,39,0.00432,0.03584,PASS
2048,256,40,0.005824,0.024672,PASS
2048,256,41,0.004448,0.024384,PASS
2048,256,42,0.006016,0.023584,PASS
2048,256,43,0.00592,0.024161,PASS
2048,256,44,0.005664,0.023104,PASS
2048,256,45,0.005248,0.024288,PASS
2048,256,46,0.004,0.024384,PASS
2048,256,47,0.004576,0.023616,PASS
2048,256,48,0.00432,0.023329,PASS
2048,256,49,0.004288,0.023744,PASS
2048,256,50,0.006144,0.023712,PASS
2048,256,51,0.006016,0.023168,PASS
2048,256,52,0.004256,0.02352,PASS
2048,256,53,0.006336,0.02272,PASS
2048,256,54,0.00448,0.023489,PASS
2048,256,55,0.004032,0.023456,PASS
2048,256,56,0.0064,0.024704,PASS
2048,256,57,0.00592,0.02416,PASS
2048,256,58,0.004128,0.02464,PASS
2048,256,59,0.005952,0.023521,PASS
2048,256,60,0.004416,0.023808,PASS
2048,256,61,0.004512,0.023296,PASS
2048,256,62,0.005824,0.024576,PASS
2048,256,63,0.004,0.024768,PASS
2048,256,64,0.00416,0.023489,PASS
2048,256,65,0.004128,0.024608,PASS
2048,256,66,0.006048,0.023968,PASS
2048,256,67,0.006176,0.023008,PASS
2048,256,68,0.004288,0.023488,PASS
2048,256,69,0.00432,0.023488,PASS
2048,256,70,0.004448,0.025537,PASS
2048,256,71,0.004128,0.023424,PASS
2048,256,72,0.004096,0.023936,PASS
2048,256,73,0.006528,0.02336,PASS
2048,256,74,0.00416,0.023392,PASS
2048,256,75,0.005952,0.024097,PASS
2048,256,76,0.004256,0.023808,PASS
2048,256,77,0.00432,0.025728,PASS
2048,256,78,0.003936,0.025472,PASS
2048,256,79,0.004992,0.024576,PASS
2048,256,80,0.005664,0.026145,PASS
2048,256,81,0.006464,0.023872,PASS
2048,256,82,0.0048,0.023712,PASS
2048,256,83,0.005632,0.025536,PASS
2048,256,84,0.005056,0.02352,PASS
2048,256,85,0.004864,0.025601,PASS
2048,256,86,0.00576,0.024576,PASS
2048,256,87,0.003904,0.024352,PASS
2048,256,88,0.00432,0.023296,PASS
2048,256,89,0.00576,0.024096,PASS
2048,256,90,0.00464,0.023456,PASS
2048,256,91,0.005664,0.023521,PASS
2048,256,92,0.004896,0.023136,PASS
2048,256,93,0.005568,0.023616,PASS
2048,256,94,0.0056,0.023648,PASS
2048,256,95,0.00608,0.02336,PASS
2048,256,96,0.005696,0.023841,PASS
2048,256,97,0.005696,0.02464,PASS
2048,256,98,0.005856,0.023552,PASS
2048,256,99,0.004576,0.02432,PASS
2048,512,0,0.005824,0.041344,PASS
2048,512,1,0.004416,0.024512,PASS
2048,512,2,0.006016,0.024577,PASS
2048,512,3,0.00576,0.023552,PASS
2048,512,4,0.003968,0.024544,PASS
2048,512,5,0.005664,0.025088,PASS
2048,512,6,0.006144,0.024,PASS
2048,512,7,0.003968,0.024353,PASS
2048,512,8,0.004288,0.023424,PASS
2048,512,9,0.00592,0.02416,PASS
2048,512,10,0.006048,0.02288,PASS
2048,512,11,0.004896,0.023648,PASS
2048,512,12,0.005792,0.023329,PASS
2048,512,13,0.006144,0.023072,PASS
2048,512,14,0.00576,0.026176,PASS
2048,512,15,0.003936,0.02352,PASS
2048,512,16,0.006112,0.023328,PASS
2048,512,17,0.006176,0.023616,PASS
2048,512,18,0.005952,0.024769,PASS
2048,512,19,0.005696,0.024128,PASS
2048,512,20,0.0056,0.023872,PASS
2048,512,21,0.003904,0.023744,PASS
2048,512,22,0.004352,0.024128,PASS
2048,512,23,0.005504,0.023521,PASS
2048,512,24,0.004256,0.024608,PASS
2048,512,25,0.004256,0.02448,PASS
2048,512,26,0.006112,0.025568,PASS
2048,512,27,0.005472,0.024576,PASS
2048,512,28,0.005792,0.024545,PASS
2048,512,29,0.004896,0.024544,PASS
2048,512,30,0.004224,0.024736,PASS
2048,512,31,0.006208,0.024416,PASS
2048,512,32,0.005568,0.02352,PASS
2048,512,33,0.004832,0.025345,PASS
2048,512,34,0.005504,0.023712,PASS
2048,512,35,0.005504,0.023584,PASS
2048,512,36,0.016544,0.023488,PASS
2048,512,37,0.005664,0.023584,PASS
2048,512,38,0.004864,0.0232,PASS
2048,512,39,0.003904,0.025793,PASS
2048,512,40,0.004192,0.024576,PASS
2048,512,41,0.005824,0.023392,PASS
2048,512,42,0.00592,0.024704,PASS
2048,512,43,0.004896,0.024608,PASS
2048,512,44,0.0048,0.023297,PASS
2048,512,45,0.004896,0.024512,PASS
2048,512,46,0.003904,0.023616,PASS
2048,512,47,0.005792,0.023392,PASS
2048,512,48,0.004544,0.023648,PASS
2048,512,49,0.006368,0.025665,PASS
2048,512,50,0.006112,0.024384,PASS
2048,512,51,0.005632,0.025472,PASS
2048,512,52,0.004384,0.023584,PASS
2048,512,53,0.00416,0.02464,PASS
2048,512,54,0.004352,0.023489,PASS
2048,512,55,0.004064,0.023488,PASS
2048,512,56,0.00576,0.025792,PASS
2048,512,57,0.00448,0.025344,PASS
2048,512,58,0.005632,0.02464,PASS
2048,512,59,0.004672,0.024289,PASS
2048,512,60,0.00592,0.023552,PASS
2048,512,61,0.006048,0.023808,PASS
2048,512,62,0.005728,0.023616,PASS
2048,512,63,0.005632,0.025376,PASS
2048,512,64,0.005728,0.024096,PASS
2048,512,65,0.005568,0.024001,PASS
2048,512,66,0.005664,0.025472,PASS
2048,512,67,0.004672,0.023456,PASS
