n,block_size,iteration,kernel_ms,total_ms,correct
1024,512,72,0.004448,0.021376,PASS
1024,512,73,0.005664,0.021344,PASS
1024,512,74,0.003808,0.022112,PASS
1024,512,75,0.004416,0.020801,PASS
1024,512,76,0.005536,0.0216,PASS
1024,512,77,0.005952,0.02352,PASS
1024,512,78,0.00576,0.02128,PASS
1024,512,79,0.004864,0.0216,PASS
1024,512,80,0.004256,0.021472,PASS
1024,512,81,0.004,0.022465,PASS
1024,512,82,0.006048,0.023488,PASS
1024,512,83,0.00464,0.021792,PASS
1024,512,84,0.0056,0.02336,PASS
1024,512,85,0.004896,0.022304,PASS
1024,512,86,0.004384,0.021504,PASS
1024,512,87,0.006656,0.022401,PASS
1024,512,88,0.00448,0.022752,PASS
1024,512,89,0.004768,0.022432,PASS
1024,512,90,0.00416,0.02352,PASS
1024,512,91,0.004704,0.021536,PASS
1024,512,92,0.004928,0.022465,PASS
1024,512,93,0.005984,0.022528,PASS
1024,512,94,0.005472,0.022464,PASS
1024,512,95,0.006528,0.022464,PASS
1024,512,96,0.003904,0.023456,PASS
1024,512,97,0.004384,0.022496,PASS
1024,512,98,0.004288,0.022401,PASS
1024,512,99,0.003776,0.021536,PASS
2048,128,0,0.006816,0.040897,PASS
2048,128,1,0.00592,0.02432,PASS
2048,128,2,0.006144,0.022464,PASS
2048,128,3,0.004736,0.022592,PASS
2048,128,4,0.00624,0.023008,PASS
2048,128,5,0.005504,0.024065,PASS
2048,128,6,0.00576,0.022208,PASS
2048,128,7,0.00432,0.030752,PASS
2048,128,8,0.006272,0.022656,PASS
2048,128,9,0.006048,0.024384,PASS
2048,128,10,0.004384,0.023521,PASS
2048,128,11,0.00416,0.023168,PASS
2048,128,12,0.006272,0.02384,PASS
2048,128,13,0.004512,0.022656,PASS
2048,128,14,0.004672,0.0224,PASS
2048,128,15,0.006336,0.022561,PASS
2048,128,16,0.00576,0.023488,PASS
2048,128,17,0.005856,0.023456,PASS
2048,128,18,0.005952,0.02384,PASS
2048,128,19,0.005632,0.024352,PASS
2048,128,20,0.004736,0.022752,PASS
2048,128,21,0.006048,0.022433,PASS
2048,128,22,0.004896,0.022432,PASS
2048,128,23,0.006144,0.023232,PASS
2048,128,24,0.00496,0.022624,PASS
2048,128,25,0.004512,0.024096,PASS
2048,128,26,0.005664,0.024705,PASS
2048,128,27,0.004416,0.024576,PASS
2048,128,28,0.004704,0.024576,PASS
2048,128,29,0.004384,0.022624,PASS
2048,128,30,0.00656,0.022528,PASS
2048,128,31,0.004896,0.022592,PASS
2048,128,32,0.004512,0.022433,PASS
2048,128,33,0.004288,0.023488,PASS
2048,128,34,0.005696,0.021792,PASS
2048,128,35,0.00432,0.02288,PASS
2048,128,36,0.005728,0.023168,PASS
2048,128,37,0.004672,0.023968,PASS
2048,128,38,0.006784,0.024001,PASS
2048,128,39,0.004448,0.022464,PASS
2048,128,40,0.00464,0.022464,PASS
2048,128,41,0.006208,0.022496,PASS
2048,128,42,0.005568,0.022432,PASS
2048,128,43,0.005536,0.022497,PASS
2048,128,44,0.005856,0.021824,PASS
2048,128,45,0.0056,0.023168,PASS
2048,128,46,0.006272,0.022336,PASS
2048,128,47,0.004896,0.022432,PASS
2048,128,48,0.005664,0.023712,PASS
2048,128,49,0.005504,0.022369,PASS
2048,128,50,0.00496,0.023584,PASS
2048,128,51,0.005824,0.022528,PASS
2048,128,52,0.004416,0.024256,PASS
2048,128,53,0.004416,0.023904,PASS
2048,128,54,0.004864,0.025889,PASS
2048,128,55,0.005888,0.02592,PASS
2048,128,56,0.005536,0.022816,PASS
2048,128,57,0.004576,0.022464,PASS
2048,128,58,0.006272,0.022592,PASS
2048,128,59,0.006016,0.02144,PASS
2048,128,60,0.005888,0.022305,PASS
2048,128,61,0.00576,0.021696,PASS
2048,128,62,0.005856,0.022528,PASS
2048,128,63,0.006112,0.023392,PASS
2048,128,64,0.00416,0.0224,PASS
2048,128,65,0.00592,0.024577,PASS
2048,128,66,0.005824,0.023648,PASS
2048,128,67,0.006112,0.023424,PASS
2048,128,68,0.005664,0.022688,PASS
2048,128,69,0.004928,0.0232,PASS
2048,128,70,0.006144,0.022592,PASS
2048,128,71,0.005952,0.021537,PASS
2048,128,72,0.006432,0.024384,PASS
2048,128,73,0.00416,0.02464,PASS
2048,128,74,0.005088,0.022528,PASS
2048,128,75,0.004992,0.022368,PASS
2048,128,76,0.006112,0.022465,PASS
2048,128,77,0.006112,0.02256,PASS
2048,128,78,0.005952,0.022368,PASS
2048,128,79,0.00576,0.022432,PASS
2048,128,80,0.004416,0.022592,PASS
2048,128,81,0.006016,0.02256,PASS
2048,128,82,0.004576,0.022529,PASS
2048,128,83,0.00592,0.022368,PASS
2048,128,84,0.005632,0.023552,PASS
2048,128,85,0.005952,0.0224,PASS
2048,128,86,0.005984,0.022496,PASS
2048,128,87,0.006624,0.022784,PASS
2048,128,88,0.006016,0.022465,PASS
2048,128,89,0.005664,0.024384,PASS
2048,128,90,0.004256,0.023616,PASS
2048,128,91,0.005824,0.023328,PASS
2048,128,92,0.005728,0.022624,PASS
2048,128,93,0.006144,0.022369,PASS
2048,128,94,0.004416,0.022528,PASS
2048,128,95,0.006144,0.023616,PASS
2048,128,96,0.005728,0.02336,PASS
2048,128,97,0.006048,0.023744,PASS
2048,128,98,0.00496,0.023424,PASS
2048,128,99,0.005472,0.024641,PASS
2048,256,0,0.004352,0.0416,PASS
2048,256,1,0.00416,0.025152,PASS
2048,256,2,0.004608,0.024161,PASS
2048,256,3,0.004736,0.023488,PASS
2048,256,4,0.004352,0.023712,PASS
2048,256,5,0.006592,0.024352,PASS
2048,256,6,0.004736,0.023584,PASS
2048,256,7,0.006144,0.023457,PASS
2048,256,8,0.006176,0.036544,PASS
2048,256,9,0.005632,0.024416,PASS
2048,256,10,0.004288,0.023968,PASS
2048,256,11,0.004288,0.024672,PASS
2048,256,12,0.005888,0.024449,PASS
2048,256,13,0.004256,0.023616,PASS
2048,256,14,0.005632,0.023488,PASS
2048,256,15,0.004928,0.023328,PASS
2048,256,16,0.004352,0.022976,PASS
2048,256,17,0.004864,0.023969,PASS
2048,256,18,0.004544,0.026016,PASS
2048,256,19,0.00464,0.024288,PASS
2048,256,20,0.006112,0.02352,PASS
2048,256,21,0.005536,0.024416,PASS
2048,256,22,0.006656,0.023745,PASS
2048,256,23,0.004448,0.02432,PASS
2048,256,24,0.004608,0.023584,PASS
2048,256,25,0.004512,0.026752,PASS
2048,256,26,0.004672,0.025504,PASS
2048,256,27,0.004128,0.02464,PASS
2048,256,28,0.005632,0.024321,PASS
2048,256,29,0.00448,0.024768,PASS
2048,256,30,0.004256,0.02432,PASS
2048,256,31,0.004768,0.023424,PASS
2048,256,32,0.00432,0.023648,PASS
2048,256,33,0.005824,0.025537,PASS
2048,256,34,0.00464,0.023648,PASS
2048,256,35,0.0056,0.024704,PASS
2048,256,36,0.004672,0.024416,PASS
2048,256,37,0.006176,0.023456,PASS
2048,256,38,0.006496,0.024417,PASS
2048,256,39,0.004416,0.023744,PASS
2048,256,40,0.006176,0.026176,PASS
2048,256,41,0.00464,0.024736,PASS
2048,256,42,0.00416,0.025696,PASS
2048,256,43,0.004192,0.024353,PASS
2048,256,44,0.004288,0.023456,PASS
2048,256,45,0.004256,0.02368,PASS
2048,256,46,0.004256,0.02448,PASS
2048,256,47,0.004256,0.02352,PASS
2048,256,48,0.004448,0.024641,PASS
2048,256,49,0.00432,0.02944,PASS
2048,256,50,0.005664,0.02384,PASS
2048,256,51,0.004192,0.023488,PASS
2048,256,52,0.004864,0.02368,PASS
2048,256,53,0.004736,0.024385,PASS
2048,256,54,0.005568,0.022496,PASS
2048,256,55,0.004288,0.02352,PASS
2048,256,56,0.004288,0.023552,PASS
2048,256,57,0.004288,0.023552,PASS
2048,256,58,0.004096,0.025504,PASS
2048,256,59,0.004064,0.023681,PASS
2048,256,60,0.00608,0.02432,PASS
2048,256,61,0.004384,0.02544,PASS
2048,256,62,0.005472,0.023648,PASS
2048,256,63,0.004288,0.024256,PASS
2048,256,64,0.00432,0.023809,PASS
2048,256,65,0.004832,0.023584,PASS
2048,256,66,0.004448,0.023776,PASS
2048,256,67,0.004672,0.023296,PASS
2048,256,68,0.005568,0.022624,PASS
2048,256,69,0.00656,0.023521,PASS
2048,256,70,0.006528,0.023648,PASS
2048,256,71,0.004448,0.024384,PASS
2048,256,72,0.004704,0.024416,PASS
2048,256,73,0.004288,0.02464,PASS
2048,256,74,0.005056,0.024416,PASS
2048,256,75,0.004736,0.024321,PASS
2048,256,76,0.00448,0.023584,PASS
2048,256,77,0.004384,0.02336,PASS
2048,256,78,0.004256,0.024896,PASS
2048,256,79,0.004448,0.024544,PASS
2048,256,80,0.005728,0.027489,PASS
2048,256,81,0.004096,0.024672,PASS
2048,256,82,0.005696,0.02464,PASS
2048,256,83,0.004384,0.024448,PASS
2048,256,84,0.005696,0.025408,PASS
2048,256,85,0.004288,0.024513,PASS
