source_file,group_type,n,block_size,rows,bad_rows_file_level,ratio_mean,ratio_median,ratio_p95,ratio_min,ratio_max
cuda_timings_saxpy.csv,by_size,8192,,300,0,5.393333,5.424766,6.590909,3.605809,8.952381
cuda_timings_saxpy.csv,by_size,8388608,,300,0,20.551794,20.658836,23.711968,15.800281,73.034133
cuda_timings_vector_add.csv,by_block_size,,128,1500,0,9.593243,7.763267,17.236203,1.419883,82.000647
cuda_timings_vector_add.csv,by_block_size,,256,1500,0,11.840790,7.755219,23.661255,2.491018,128.740774
cuda_timings_vector_add.csv,by_block_size,,512,1500,0,12.928411,7.451236,27.202804,1.419729,1217.713385
cuda_timings_vector_add.csv,by_n_block,1024,128,100,0,4.690383,4.315584,6.185736,2.126437,7.248933
cuda_timings_vector_add.csv,by_n_block,1024,256,100,0,4.764720,4.610888,6.410853,2.774554,8.345679
cuda_timings_vector_add.csv,by_n_block,1024,512,100,0,4.900925,4.994204,5.955224,3.290043,8.746753
cuda_timings_vector_add.csv,by_n_block,1048576,128,100,0,12.619682,11.897430,14.367543,10.846021,61.448891
cuda_timings_vector_add.csv,by_n_block,1048576,256,100,0,15.301542,14.383098,17.804285,7.130943,60.289800
cuda_timings_vector_add.csv,by_n_block,1048576,512,100,0,16.994139,16.791574,20.197740,11.639562,59.399862
cuda_timings_vector_add.csv,by_n_block,131072,128,100,0,7.225302,6.840426,8.089385,2.714859,47.462262
cuda_timings_vector_add.csv,by_n_block,131072,256,100,0,7.602994,7.045783,9.408987,5.273218,40.951297
cuda_timings_vector_add.csv,by_n_block,131072,512,100,0,7.558503,6.603682,8.331206,5.170635,87.956922
cuda_timings_vector_add.csv,by_n_block,16384,128,100,0,7.102467,6.844447,9.097248,1.419883,9.328695
cuda_timings_vector_add.csv,by_n_block,16384,256,100,0,6.869827,6.592468,9.154642,3.847390,9.925926
cuda_timings_vector_add.csv,by_n_block,16384,512,100,0,6.978445,6.844857,9.000226,4.941799,9.615385
cuda_timings_vector_add.csv,by_n_block,16777216,128,100,0,17.729097,17.335706,17.722227,16.814491,58.658535
cuda_timings_vector_add.csv,by_n_block,16777216,256,100,0,23.675256,22.984111,23.878177,21.817896,88.040641
cuda_timings_vector_add.csv,by_n_block,16777216,512,100,0,22.731493,22.114947,22.748330,21.406794,81.897995
cuda_timings_vector_add.csv,by_n_block,2048,128,100,0,4.312508,4.057728,5.488889,1.997050,5.977612
cuda_timings_vector_add.csv,by_n_block,2048,256,100,0,4.878994,4.769639,6.237705,3.404545,8.296296
cuda_timings_vector_add.csv,by_n_block,2048,512,100,0,4.749378,4.533586,6.137349,1.419729,7.098901
cuda_timings_vector_add.csv,by_n_block,2097152,128,100,0,14.136247,13.616132,15.119297,11.891428,62.280566
cuda_timings_vector_add.csv,by_n_block,2097152,256,100,0,21.946467,19.713786,23.394875,11.128971,128.740774
cuda_timings_vector_add.csv,by_n_block,2097152,512,100,0,23.363979,23.005728,25.587500,11.116351,77.088359
cuda_timings_vector_add.csv,by_n_block,262144,128,100,0,8.767179,8.280161,9.468750,6.076336,48.572877
cuda_timings_vector_add.csv,by_n_block,262144,256,100,0,8.842064,8.316953,11.005714,6.344961,50.323444
cuda_timings_vector_add.csv,by_n_block,262144,512,100,0,20.529926,8.529654,10.623377,3.386892,1217.713385
cuda_timings_vector_add.csv,by_n_block,32768,128,100,0,6.591358,5.925911,8.028777,5.060914,40.371958
cuda_timings_vector_add.csv,by_n_block,32768,256,100,0,7.028519,5.901921,7.827338,5.010417,85.901786
cuda_timings_vector_add.csv,by_n_block,32768,512,100,0,6.367928,5.754266,7.788321,2.697121,45.217487
cuda_timings_vector_add.csv,by_n_block,4096,128,100,0,4.596250,4.380910,5.772727,2.031578,6.725191
cuda_timings_vector_add.csv,by_n_block,4096,256,100,0,4.431354,4.208413,5.606061,3.540670,6.169231
cuda_timings_vector_add.csv,by_n_block,4096,512,100,0,4.987571,5.062387,6.224114,2.441489,8.930636
cuda_timings_vector_add.csv,by_n_block,4194304,128,100,0,16.222985,15.826472,16.295027,14.518254,57.589043
cuda_timings_vector_add.csv,by_n_block,4194304,256,100,0,24.411684,23.518585,26.289836,19.802064,104.396264
cuda_timings_vector_add.csv,by_n_block,4194304,512,100,0,28.226695,27.439490,29.041240,24.213518,103.648702
cuda_timings_vector_add.csv,by_n_block,524288,128,100,0,10.610167,9.469342,11.773196,8.444444,82.000647
cuda_timings_vector_add.csv,by_n_block,524288,256,100,0,12.516714,12.109819,13.029240,10.341158,62.740297
cuda_timings_vector_add.csv,by_n_block,524288,512,100,0,12.248270,11.748816,13.381684,7.478072,53.495107
cuda_timings_vector_add.csv,by_n_block,65536,128,100,0,7.184860,6.040449,8.529642,5.328283,81.128567
cuda_timings_vector_add.csv,by_n_block,65536,256,100,0,6.831173,5.875305,8.370370,5.171717,49.136679
cuda_timings_vector_add.csv,by_n_block,65536,512,100,0,7.025891,6.263323,8.405797,2.182414,51.592978
cuda_timings_vector_add.csv,by_n_block,8192,128,100,0,5.085157,4.816667,6.427763,3.957346,8.125000
cuda_timings_vector_add.csv,by_n_block,8192,256,100,0,4.856501,4.610294,6.353846,2.491018,6.573991
cuda_timings_vector_add.csv,by_n_block,8192,512,100,0,5.283639,5.269006,6.674306,2.225722,6.847328
cuda_timings_vector_add.csv,by_n_block,8388608,128,100,0,17.024997,16.515424,17.134602,15.761211,63.541309
cuda_timings_vector_add.csv,by_n_block,8388608,256,100,0,23.654046,22.892339,24.328757,21.852022,89.524520
cuda_timings_vector_add.csv,by_n_block,8388608,512,100,0,21.979384,21.220481,22.700733,20.190149,83.813592
cuda_timings_vector_add.csv,by_size,1024,,300,0,4.785342,4.430157,6.170543,2.126437,8.746753
cuda_timings_vector_add.csv,by_size,1048576,,300,0,14.971788,14.153505,18.934830,7.130943,61.448891
cuda_timings_vector_add.csv,by_size,131072,,300,0,7.462266,6.784574,8.870077,2.714859,87.956922
cuda_timings_vector_add.csv,by_size,16384,,300,0,6.983580,6.789738,9.102190,1.419883,9.925926
cuda_timings_vector_add.csv,by_size,16777216,,300,0,21.378615,22.085779,23.661255,16.814491,88.040641
cuda_timings_vector_add.csv,by_size,2048,,300,0,4.646960,4.279313,6.081967,1.419729,8.296296
cuda_timings_vector_add.csv,by_size,2097152,,300,0,19.815564,19.575577,25.052151,11.116351,128.740774
cuda_timings_vector_add.csv,by_size,262144,,300,0,12.713056,8.365359,10.366991,3.386892,1217.713385
cuda_timings_vector_add.csv,by_size,32768,,300,0,6.662602,5.859988,7.839416,2.697121,85.901786
cuda_timings_vector_add.csv,by_size,4096,,300,0,4.671725,4.400661,5.894737,2.031578,8.930636
cuda_timings_vector_add.csv,by_size,4194304,,300,0,22.953788,23.542367,28.671374,14.518254,104.396264
cuda_timings_vector_add.csv,by_size,524288,,300,0,11.791717,11.382497,13.172038,7.478072,82.000647
cuda_timings_vector_add.csv,by_size,65536,,300,0,7.013975,6.081522,8.424242,2.182414,81.128567
cuda_timings_vector_add.csv,by_size,8192,,300,0,5.075099,4.746754,6.531915,2.225722,8.125000
cuda_timings_vector_add.csv,by_size,8388608,,300,0,20.886142,21.233949,23.489904,15.761211,89.524520
