n,iteration,kernel_ms,correct
1024,90,0.026528000831604004,PASS
1024,91,0.024064000695943832,PASS
1024,92,0.02611199952661991,PASS
1024,93,0.022624000906944275,PASS
1024,94,0.02502400055527687,PASS
1024,95,0.02409599907696247,PASS
1024,96,0.023455999791622162,PASS
1024,97,0.02393599972128868,PASS
1024,98,0.024607999250292778,PASS
1024,99,0.026464000344276428,PASS
2048,0,0.04604800045490265,PASS
2048,1,0.05692800134420395,PASS
2048,2,0.034143999218940735,PASS
2048,3,0.02864000014960766,PASS
2048,4,0.02783999964594841,PASS
2048,5,0.02864000014960766,PASS
2048,6,0.026688000187277794,PASS
2048,7,0.0272000003606081,PASS
2048,8,0.02953599952161312,PASS
2048,9,0.02876799926161766,PASS
2048,10,0.030592000111937523,PASS
2048,11,0.02816000021994114,PASS
2048,12,0.02751999907195568,PASS
2048,13,0.02739199995994568,PASS
2048,14,0.028255999088287354,PASS
2048,15,0.026399999856948853,PASS
2048,16,0.02489599958062172,PASS
2048,17,0.024383999407291412,PASS
2048,18,0.02566399984061718,PASS
2048,19,0.025151999667286873,PASS
2048,20,0.02502400055527687,PASS
2048,21,0.02521600015461445,PASS
2048,22,0.027871999889612198,PASS
2048,23,0.04416000097990036,PASS
2048,24,0.030559999868273735,PASS
2048,25,0.027327999472618103,PASS
2048,26,0.027744000777602196,PASS
2048,27,0.028224000707268715,PASS
2048,28,0.026976000517606735,PASS
2048,29,0.025312000885605812,PASS
2048,30,0.026623999699950218,PASS
2048,31,0.025280000641942024,PASS
2048,32,0.026176000013947487,PASS
2048,33,0.025631999596953392,PASS
2048,34,0.026240000501275063,PASS
2048,35,0.028063999488949776,PASS
2048,36,0.025567999109625816,PASS
2048,37,0.025312000885605812,PASS
2048,38,0.02502400055527687,PASS
2048,39,0.024351999163627625,PASS
2048,40,0.02252800017595291,PASS
2048,41,0.024064000695943832,PASS
2048,42,0.03033600002527237,PASS
2048,43,0.02537599951028824,PASS
2048,44,0.023679999634623528,PASS
2048,45,0.025280000641942024,PASS
2048,46,0.04297599941492081,PASS
2048,47,0.0289280004799366,PASS
2048,48,0.0244159996509552,PASS
2048,49,0.026496000587940216,PASS
2048,50,0.024480000138282776,PASS
2048,51,0.02550400048494339,PASS
2048,52,0.024159999564290047,PASS
2048,53,0.02550400048494339,PASS
2048,54,0.027712000533938408,PASS
2048,55,0.027424000203609467,PASS
2048,56,0.024768000468611717,PASS
2048,57,0.025696000084280968,PASS
2048,58,0.02348800003528595,PASS
2048,59,0.02566399984061718,PASS
2048,60,0.023391999304294586,PASS
2048,61,0.02300800010561943,PASS
2048,62,0.027264000847935677,PASS
2048,63,0.02828799933195114,PASS
2048,64,0.028960000723600388,PASS
2048,65,0.02707199938595295,PASS
2048,66,0.024288000538945198,PASS
2048,67,0.025119999423623085,PASS
2048,68,0.024639999493956566,PASS
2048,69,0.0360959991812706,PASS
2048,70,0.027424000203609467,PASS
2048,71,0.022816000506281853,PASS
2048,72,0.025248000398278236,PASS
2048,73,0.025407999753952026,PASS
2048,74,0.025760000571608543,PASS
2048,75,0.02703999914228916,PASS
